,success_rate,makespan,time_cost,waiting_time,travel_dist,efficiency
0,1.0,41.89839897170879,0,7.6162669991932095,44.97734660701398,3.0465067996772834
1,1.0,39.83211235564147,0,7.717453926208494,44.093945109747594,3.086981570483398
2,1.0,36.440072263862014,0,4.95116409060333,42.46939694109833,1.980465636241332
3,1.0,37.389142890163946,0,3.262595883300384,42.21295585401756,1.3050383533201537
4,1.0,41.24817528292236,0,7.210719848113048,36.988955828017765,2.88428793924522
5,1.0,33.06883248162542,0,5.502705947887248,38.13501212044814,2.2010823791548995
6,1.0,41.09236273064339,0,10.914435768356872,39.15618088856979,4.3657743073427495
7,1.0,37.90677085535573,0,5.204140901668694,38.10716423940609,2.0816563606674774
8,1.0,39.195787860875335,0,4.496459915452709,45.88559261623697,1.7985839661810836
9,1.0,37.897551482294894,0,6.004918105178676,44.55086993511079,2.4019672420714704
10,1.0,36.454574251983296,0,4.242558898328527,49.284520286392315,1.697023559331411
11,1.0,37.28012824297865,0,4.833503137961416,41.33149257352392,1.933401255184566
12,1.0,30.661441873834644,0,3.2815859763816535,44.92465962278293,1.3126343905526614
13,1.0,33.99206659277227,0,4.0722283818457345,41.315058526573075,1.628891352738294
14,1.0,35.08396227970414,0,6.364147686473811,46.27154620571574,2.545659074589524
15,1.0,37.76872265655869,0,5.145272667359508,46.01646219199363,2.058109066943804
16,1.0,32.04608650294399,0,5.101001944162852,34.99610221417322,2.0404007776651407
17,1.0,41.3623809816604,0,7.575057408317845,40.58989764276972,3.030022963327138
18,1.0,37.422096872475166,0,8.430343827770978,41.50387079628406,3.3721375311083914
19,1.0,36.14197585746675,0,4.974715476305161,42.930922914458264,1.989886190522064
20,1.0,39.210120250659955,0,6.42554737295269,43.00481673430433,2.5702189491810765
21,1.0,35.22745660738191,0,5.8703584473109585,43.35039889719124,2.3481433789243833
22,1.0,34.9276072342431,0,4.417956284835834,44.93819760821238,1.7671825139343338
23,1.0,33.34169586908715,0,4.629182848289698,38.4128942505714,1.851673139315879
24,1.0,35.17546069154188,0,5.449433817565228,29.395543010471663,2.179773527026091
25,1.0,34.83244911319147,0,4.6675977215192,47.31386922223231,1.8670390886076802
26,1.0,37.868868507450024,0,5.43301555422303,40.220161202342354,2.1732062216892123
27,1.0,36.22030558363029,0,4.418288193883432,44.60220617275172,1.767315277553373
28,1.0,35.476353677055144,0,5.224407825198975,40.52859068206509,2.0897631300795902
29,1.0,35.969761154860365,0,4.4843556488087195,45.20826869757533,1.7937422595234873
30,1.0,31.603486072023657,0,4.092362389837365,35.636551981619064,1.636944955934946
31,1.0,50.273927062118624,0,10.11397333005342,52.11080704832377,4.045589332021368
32,1.0,32.320063860458085,0,4.785384640684411,44.7218635510167,1.9141538562737646
33,1.0,34.9960926281173,0,4.145585354683851,38.56208510747212,1.6582341418735402
34,1.0,42.74136715043674,0,4.500911709460215,48.339437974942946,1.800364683784086
35,1.0,36.96109567538078,0,9.422681980879826,36.24190661073127,3.7690727923519294
36,1.0,30.378719485384025,0,3.340167215463654,35.77330133070216,1.3360668861854617
37,1.0,36.67813964474947,0,5.673771607532257,43.3725784701583,2.2695086430129026
38,1.0,37.75750218904637,0,6.8931030593950755,38.23849474611805,2.757241223758031
39,1.0,28.625300591726006,0,3.6278646617033865,32.04157201563373,1.4511458646813549
40,1.0,41.46817656265226,0,9.010107334009751,41.21012534113266,3.6040429336039015
41,1.0,38.66078935463477,0,4.224687035655713,39.40322887803459,1.6898748142622855
42,1.0,31.174924743198538,0,4.750837776227882,41.308396329250186,1.9003351104911528
43,1.0,35.60417236875649,0,4.920035855596426,45.41027069245051,1.968014342238571
44,1.0,38.23426509000397,0,3.1037684272908797,48.42710365286633,1.241507370916352
45,1.0,42.47647899639378,0,5.463017880544139,44.51282276391102,2.1852071522176555
46,1.0,37.805829248188665,0,4.743240699349134,50.05378749977064,1.8972962797396535
47,1.0,37.035966275336634,0,5.750104673730596,40.123531111845345,2.3000418694922384
48,1.0,39.720648099557785,0,7.064914415238649,42.70164656210371,2.825965766095459
49,1.0,38.43727197378484,0,7.3903650274201995,40.465196535609664,2.9561460109680797
